Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,1443,17316.00,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,Asia Pacific (Melbourne),,VPN Connection,0,676.5,8118.00,USD,,"Working days per month (22), Number of Site-to-Site VPN Connections (5), Number of subnet associations (2)"
My Estimate,Asia Pacific (Melbourne),,Public IPv4 Address,0,766.5,9198.00,USD,,"Number of In-use public IPv4 addresses (200), Number of Idle public IPv4 addresses (10)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
